site,year,species,gear,length_cm
Test_FF_Site,2003,Caesio cuning,Trap,36.833
Test_FF_Site,2003,Caesio cuning,Trap,29.757
Test_FF_Site,2003,Caesio cuning,Trap,37.789
Test_FF_Site,2003,Caesio cuning,Trap,28.72
Test_FF_Site,2003,Caesio cuning,Trap,27.351
Test_FF_Site,2003,Caesio cuning,Trap,32.292
Test_FF_Site,2003,Caesio cuning,Trap,34.398
Test_FF_Site,2003,Caesio cuning,Trap,30.865
Test_FF_Site,2003,Caesio cuning,Trap,24.247
Test_FF_Site,2003,Caesio cuning,Trap,23.196
Test_FF_Site,2003,Caesio cuning,Trap,33.245
Test_FF_Site,2003,Caesio cuning,Trap,38.622
Test_FF_Site,2003,Caesio cuning,Trap,31.117
Test_FF_Site,2003,Caesio cuning,Trap,31.218
Test_FF_Site,2003,Caesio cuning,Trap,22.923
Test_FF_Site,2003,Caesio cuning,Trap,26.74
Test_FF_Site,2003,Caesio cuning,Trap,26.362
Test_FF_Site,2003,Caesio cuning,Trap,32.079
Test_FF_Site,2003,Caesio cuning,Trap,33.145
Test_FF_Site,2003,Caesio cuning,Trap,32.071
Test_FF_Site,2003,Caesio cuning,Trap,35.886
Test_FF_Site,2003,Caesio cuning,Trap,31.524
Test_FF_Site,2003,Caesio cuning,Trap,31.25
Test_FF_Site,2003,Caesio cuning,Trap,27.353
Test_FF_Site,2003,Caesio cuning,Trap,28.283
Test_FF_Site,2003,Caesio cuning,Trap,26.006
Test_FF_Site,2003,Caesio cuning,Trap,29.564
Test_FF_Site,2003,Caesio cuning,Gillnet,23.075
Test_FF_Site,2003,Caesio cuning,Gillnet,20.294
Test_FF_Site,2003,Caesio cuning,Gillnet,21.72
Test_FF_Site,2003,Caesio cuning,Gillnet,33.523
Test_FF_Site,2003,Caesio cuning,Gillnet,20.381
Test_FF_Site,2003,Caesio cuning,Gillnet,24.934
Test_FF_Site,2003,Caesio cuning,Gillnet,21.163
Test_FF_Site,2003,Caesio cuning,Gillnet,32.164
Test_FF_Site,2003,Caesio cuning,Gillnet,19.328
Test_FF_Site,2003,Caesio cuning,Gillnet,21.597
Test_FF_Site,2003,Caesio cuning,Gillnet,24.377
Test_FF_Site,2003,Caesio cuning,Gillnet,32.975
Test_FF_Site,2003,Caesio cuning,Gillnet,34.09
Test_FF_Site,2003,Caesio cuning,Trap,30.269
Test_FF_Site,2003,Caesio cuning,Trap,29.368
Test_FF_Site,2003,Caesio cuning,Trap,25.394
Test_FF_Site,2003,Caesio cuning,Trap,25.944
Test_FF_Site,2003,Caesio cuning,Gillnet,26.498
Test_FF_Site,2003,Caesio cuning,Gillnet,22.022
Test_FF_Site,2003,Caesio cuning,Trap,29.32
Test_FF_Site,2003,Caesio cuning,Muroami,29.091
Test_FF_Site,2003,Caesio cuning,Muroami,22.841
Test_FF_Site,2003,Caesio cuning,Muroami,28.005
Test_FF_Site,2003,Caesio cuning,Muroami,23.331
Test_FF_Site,2003,Caesio cuning,Muroami,26.582
Test_FF_Site,2003,Caesio cuning,Muroami,34.035
Test_FF_Site,2003,Caesio cuning,Muroami,34.796
Test_FF_Site,2003,Caesio cuning,Muroami,29.238
Test_FF_Site,2003,Caesio cuning,Muroami,31.356
Test_FF_Site,2003,Caesio cuning,Muroami,32.439
Test_FF_Site,2003,Caesio cuning,Muroami,22.751
Test_FF_Site,2003,Caesio cuning,Muroami,22.59
Test_FF_Site,2003,Caesio cuning,Muroami,20.615
Test_FF_Site,2003,Caesio cuning,Muroami,25.56
Test_FF_Site,2003,Caesio cuning,Muroami,28.874
Test_FF_Site,2003,Caesio cuning,Muroami,26.488
Test_FF_Site,2003,Caesio cuning,Muroami,20.736
Test_FF_Site,2003,Caesio cuning,Muroami,21.76
Test_FF_Site,2003,Caesio cuning,Muroami,20.593
Test_FF_Site,2003,Caesio cuning,Muroami,23.102
Test_FF_Site,2003,Caesio cuning,Muroami,22.379
Test_FF_Site,2003,Caesio cuning,Muroami,25.215
Test_FF_Site,2003,Caesio cuning,Muroami,26.565
Test_FF_Site,2003,Caesio cuning,Muroami,23.333
Test_FF_Site,2003,Caesio cuning,Muroami,20.77
Test_FF_Site,2003,Caesio cuning,Muroami,30.316
Test_FF_Site,2003,Caesio cuning,Muroami,24.208
Test_FF_Site,2003,Caesio cuning,Muroami,18.88
Test_FF_Site,2003,Caesio cuning,Muroami,23.834
Test_FF_Site,2003,Caesio cuning,Muroami,21.811
Test_FF_Site,2003,Caesio cuning,Muroami,21.451
Test_FF_Site,2003,Caesio cuning,Muroami,22.767
Test_FF_Site,2003,Caesio cuning,Muroami,21.905
Test_FF_Site,2003,Caesio cuning,Muroami,25.958
Test_FF_Site,2003,Caesio cuning,Muroami,18.275
Test_FF_Site,2003,Caesio cuning,Muroami,24.496
Test_FF_Site,2003,Caesio cuning,Muroami,24.294
Test_FF_Site,2003,Caesio cuning,Muroami,23.226
Test_FF_Site,2003,Caesio cuning,Muroami,24.195
Test_FF_Site,2003,Caesio cuning,Muroami,23.523
Test_FF_Site,2003,Caesio cuning,Muroami,23.243
Test_FF_Site,2003,Caesio cuning,Muroami,23.261
Test_FF_Site,2003,Caesio cuning,Muroami,23.764
Test_FF_Site,2003,Caesio cuning,Muroami,21.729
Test_FF_Site,2003,Caesio cuning,Muroami,25.498
Test_FF_Site,2003,Caesio cuning,Muroami,31.765
Test_FF_Site,2003,Caesio cuning,Muroami,24.162
Test_FF_Site,2003,Caesio cuning,Muroami,25.347
Test_FF_Site,2003,Caesio cuning,Muroami,27.418
Test_FF_Site,2003,Caesio cuning,Muroami,23.742
Test_FF_Site,2003,Caesio cuning,Muroami,23.384
Test_FF_Site,2003,Caesio cuning,Muroami,29.714
Test_FF_Site,2003,Caesio cuning,Muroami,24.709
Test_FF_Site,2003,Caesio cuning,Muroami,27.767
Test_FF_Site,2003,Caesio cuning,Muroami,29.661
Test_FF_Site,2003,Caesio cuning,Muroami,26.73
Test_FF_Site,2003,Caesio cuning,Muroami,31.332
Test_FF_Site,2003,Caesio cuning,Muroami,34.242
Test_FF_Site,2003,Caesio cuning,Muroami,31.927
Test_FF_Site,2003,Caesio cuning,Muroami,35.366
Test_FF_Site,2003,Caesio cuning,Muroami,34.412
Test_FF_Site,2003,Caesio cuning,Muroami,27.901
Test_FF_Site,2003,Caesio cuning,Muroami,26.633
Test_FF_Site,2003,Caesio cuning,Muroami,32.994
Test_FF_Site,2003,Caesio cuning,Muroami,25.272
Test_FF_Site,2003,Caesio cuning,Muroami,29.839
Test_FF_Site,2003,Caesio cuning,Muroami,25.853
Test_FF_Site,2003,Caesio cuning,Muroami,27.715
Test_FF_Site,2003,Caesio cuning,Muroami,26.422
Test_FF_Site,2003,Caesio cuning,Muroami,17.661
Test_FF_Site,2003,Caesio cuning,Muroami,28.317
Test_FF_Site,2003,Caesio cuning,Muroami,17.398
Test_FF_Site,2003,Caesio cuning,Muroami,23.313
Test_FF_Site,2003,Caesio cuning,Muroami,21.562
Test_FF_Site,2003,Caesio cuning,Muroami,32.644
Test_FF_Site,2003,Caesio cuning,Muroami,26.079
Test_FF_Site,2003,Caesio cuning,Muroami,28.644
Test_FF_Site,2003,Caesio cuning,Muroami,33.8
Test_FF_Site,2003,Caesio cuning,Muroami,27.769
Test_FF_Site,2003,Caesio cuning,Muroami,33.805
Test_FF_Site,2003,Caesio cuning,Muroami,37.658
Test_FF_Site,2003,Caesio cuning,Muroami,36.455
Test_FF_Site,2003,Caesio cuning,Muroami,24.602
Test_FF_Site,2003,Caesio cuning,Muroami,36.186
Test_FF_Site,2003,Caesio cuning,Muroami,24.602
Test_FF_Site,2003,Caesio cuning,Muroami,28.751
Test_FF_Site,2003,Caesio cuning,Muroami,33.533
Test_FF_Site,2003,Caesio cuning,Muroami,35.189
Test_FF_Site,2003,Caesio cuning,Muroami,31.331
Test_FF_Site,2003,Caesio cuning,Muroami,26.401
Test_FF_Site,2003,Caesio cuning,Muroami,24.366
Test_FF_Site,2003,Caesio cuning,Muroami,34.424
Test_FF_Site,2003,Caesio cuning,Muroami,33.352
Test_FF_Site,2003,Caesio cuning,Muroami,32.521
Test_FF_Site,2003,Caesio cuning,Muroami,33.775
Test_FF_Site,2003,Caesio cuning,Muroami,34.375
Test_FF_Site,2003,Caesio cuning,Muroami,34.118
Test_FF_Site,2003,Caesio cuning,Muroami,25.714
Test_FF_Site,2003,Caesio cuning,Muroami,34.952
Test_FF_Site,2003,Caesio cuning,Muroami,33.053
Test_FF_Site,2003,Caesio cuning,Muroami,25.46
Test_FF_Site,2003,Caesio cuning,Muroami,31.53
Test_FF_Site,2003,Caesio cuning,Muroami,28.609
Test_FF_Site,2003,Caesio cuning,Muroami,32.121
Test_FF_Site,2003,Caesio cuning,Muroami,31.216
Test_FF_Site,2003,Caesio cuning,Muroami,31.229
Test_FF_Site,2003,Caesio cuning,Muroami,34.331
Test_FF_Site,2003,Caesio cuning,Muroami,24.399
Test_FF_Site,2003,Caesio cuning,Muroami,39.002
Test_FF_Site,2003,Caesio cuning,Muroami,23.842
Test_FF_Site,2003,Caesio cuning,Muroami,31.543
Test_FF_Site,2003,Caesio cuning,Muroami,20.918
Test_FF_Site,2003,Caesio cuning,Muroami,20.746
Test_FF_Site,2003,Caesio cuning,Muroami,20.215
Test_FF_Site,2003,Caesio cuning,Muroami,20.261
Test_FF_Site,2003,Caesio cuning,Muroami,20.537
Test_FF_Site,2003,Caesio cuning,Muroami,24.349
Test_FF_Site,2003,Caesio cuning,Muroami,21.219
Test_FF_Site,2003,Caesio cuning,Muroami,18.342
Test_FF_Site,2003,Caesio cuning,Muroami,15.417
Test_FF_Site,2003,Caesio cuning,Muroami,23.244
Test_FF_Site,2003,Caesio cuning,Muroami,20.918
Test_FF_Site,2003,Caesio cuning,Muroami,20.215
Test_FF_Site,2003,Caesio cuning,Muroami,20.537
Test_FF_Site,2003,Caesio cuning,Muroami,24.349
Test_FF_Site,2003,Caesio cuning,Muroami,21.219
Test_FF_Site,2003,Caesio cuning,Muroami,18.342
Test_FF_Site,2003,Caesio cuning,Muroami,15.417
Test_FF_Site,2003,Caesio cuning,Muroami,31.179
Test_FF_Site,2003,Caesio cuning,Muroami,26.782
Test_FF_Site,2003,Caesio cuning,Muroami,24.92
Test_FF_Site,2003,Caesio cuning,Muroami,24.718
Test_FF_Site,2003,Caesio cuning,Muroami,29.361
Test_FF_Site,2003,Caesio cuning,Muroami,25.069
Test_FF_Site,2003,Caesio cuning,Muroami,28.965
Test_FF_Site,2003,Caesio cuning,Muroami,26.064
Test_FF_Site,2003,Caesio cuning,Muroami,19.464
Test_FF_Site,2003,Caesio cuning,Muroami,16.787
Test_FF_Site,2003,Caesio cuning,Muroami,26.056
Test_FF_Site,2003,Caesio cuning,Muroami,30.139
Test_FF_Site,2003,Caesio cuning,Muroami,26.309
Test_FF_Site,2003,Caesio cuning,Muroami,27.742
Test_FF_Site,2003,Caesio cuning,Muroami,27.636
Test_FF_Site,2003,Caesio cuning,Muroami,26.985
Test_FF_Site,2003,Caesio cuning,Muroami,20.309
Test_FF_Site,2003,Caesio cuning,Muroami,26.325
Test_FF_Site,2003,Caesio cuning,Muroami,30.822
Test_FF_Site,2003,Caesio cuning,Muroami,28.315
Test_FF_Site,2003,Caesio cuning,Muroami,28.25
Test_FF_Site,2003,Caesio cuning,Muroami,28.317
Test_FF_Site,2003,Caesio cuning,Muroami,24.082
Test_FF_Site,2003,Caesio cuning,Muroami,27.948
Test_FF_Site,2003,Caesio cuning,Muroami,33.777
Test_FF_Site,2003,Caesio cuning,Muroami,23.755
Test_FF_Site,2003,Caesio cuning,Muroami,22.851
Test_FF_Site,2003,Caesio cuning,Muroami,24.288
Test_FF_Site,2003,Caesio cuning,Muroami,26.215
Test_FF_Site,2003,Caesio cuning,Muroami,23.323
Test_FF_Site,2003,Caesio cuning,Muroami,32.41
Test_FF_Site,2003,Caesio cuning,Muroami,23.865
Test_FF_Site,2003,Caesio cuning,Muroami,26.86
Test_FF_Site,2003,Caesio cuning,Muroami,23.353
Test_FF_Site,2003,Caesio cuning,Muroami,23.092
Test_FF_Site,2003,Caesio cuning,Muroami,25.679
Test_FF_Site,2003,Caesio cuning,Muroami,26.728
Test_FF_Site,2003,Caesio cuning,Muroami,26.119
Test_FF_Site,2003,Caesio cuning,Muroami,28.715
Test_FF_Site,2003,Caesio cuning,Muroami,29.056
Test_FF_Site,2003,Caesio cuning,Muroami,27.886
Test_FF_Site,2003,Caesio cuning,Muroami,25.568
Test_FF_Site,2003,Caesio cuning,Muroami,31.675
Test_FF_Site,2003,Caesio cuning,Muroami,26.779
Test_FF_Site,2003,Caesio cuning,Muroami,23.77
Test_FF_Site,2003,Caesio cuning,Muroami,26.132
Test_FF_Site,2003,Caesio cuning,Muroami,25.298
Test_FF_Site,2003,Caesio cuning,Muroami,26.897
Test_FF_Site,2003,Caesio cuning,Muroami,28.847
Test_FF_Site,2003,Caesio cuning,Muroami,28.682
Test_FF_Site,2003,Caesio cuning,Muroami,28.901
Test_FF_Site,2003,Caesio cuning,Muroami,25.887
Test_FF_Site,2003,Caesio cuning,Muroami,24.035
Test_FF_Site,2003,Caesio cuning,Muroami,27.905
Test_FF_Site,2003,Caesio cuning,Muroami,24.522
Test_FF_Site,2003,Caesio cuning,Muroami,27.469
Test_FF_Site,2003,Caesio cuning,Muroami,29.071
Test_FF_Site,2003,Caesio cuning,Muroami,31.926
Test_FF_Site,2003,Caesio cuning,Muroami,22.871
Test_FF_Site,2003,Caesio cuning,Muroami,34.577
Test_FF_Site,2003,Caesio cuning,Muroami,25.525
Test_FF_Site,2003,Caesio cuning,Muroami,21.381
Test_FF_Site,2003,Caesio cuning,Muroami,23.381
Test_FF_Site,2003,Caesio cuning,Muroami,26.257
Test_FF_Site,2003,Caesio cuning,Muroami,20.181
Test_FF_Site,2003,Caesio cuning,Muroami,34.537
Test_FF_Site,2003,Caesio cuning,Muroami,30.929
Test_FF_Site,2003,Caesio cuning,Muroami,30.056
Test_FF_Site,2003,Caesio cuning,Muroami,26.038
Test_FF_Site,2003,Caesio cuning,Muroami,23.32
Test_FF_Site,2003,Caesio cuning,Muroami,24.933
Test_FF_Site,2003,Caesio cuning,Muroami,24.662
Test_FF_Site,2003,Caesio cuning,Muroami,30.183
Test_FF_Site,2003,Caesio cuning,Muroami,26.842
Test_FF_Site,2003,Caesio cuning,Muroami,24.999
Test_FF_Site,2003,Caesio cuning,Muroami,24.065
Test_FF_Site,2003,Caesio cuning,Muroami,27.135
Test_FF_Site,2003,Caesio cuning,Muroami,23.902
Test_FF_Site,2003,Caesio cuning,Muroami,26.065
Test_FF_Site,2003,Caesio cuning,Muroami,27.849
Test_FF_Site,2003,Caesio cuning,Muroami,23.933
Test_FF_Site,2003,Caesio cuning,Muroami,25.745
Test_FF_Site,2003,Caesio cuning,Muroami,26.57
Test_FF_Site,2003,Caesio cuning,Muroami,26.979
Test_FF_Site,2003,Caesio cuning,Muroami,26.953
Test_FF_Site,2003,Caesio cuning,Muroami,24.837
Test_FF_Site,2003,Caesio cuning,Muroami,25.543
Test_FF_Site,2003,Caesio cuning,Muroami,25.655
Test_FF_Site,2003,Caesio cuning,Muroami,28.548
Test_FF_Site,2003,Caesio cuning,Muroami,25.115
Test_FF_Site,2003,Caesio cuning,Muroami,26.384
Test_FF_Site,2003,Caesio cuning,Muroami,25.775
Test_FF_Site,2003,Caesio cuning,Muroami,31.787
Test_FF_Site,2003,Caesio cuning,Muroami,25.018
Test_FF_Site,2003,Caesio cuning,Muroami,25.44
Test_FF_Site,2003,Caesio cuning,Muroami,26.018
Test_FF_Site,2003,Caesio cuning,Muroami,24.474
Test_FF_Site,2003,Caesio cuning,Muroami,23.186
Test_FF_Site,2003,Caesio cuning,Muroami,26.192
Test_FF_Site,2003,Caesio cuning,Muroami,31.012
Test_FF_Site,2003,Caesio cuning,Muroami,25.924
Test_FF_Site,2003,Caesio cuning,Muroami,24.537
Test_FF_Site,2003,Caesio cuning,Muroami,27.018
Test_FF_Site,2003,Caesio cuning,Muroami,22.335
Test_FF_Site,2003,Caesio cuning,Muroami,22.335
Test_FF_Site,2003,Caesio cuning,Muroami,22.281
Test_FF_Site,2003,Caesio cuning,Muroami,20.282
Test_FF_Site,2003,Caesio cuning,Muroami,24.567
Test_FF_Site,2003,Caesio cuning,Muroami,24.912
Test_FF_Site,2003,Caesio cuning,Muroami,22.932
Test_FF_Site,2003,Caesio cuning,Muroami,26.782
Test_FF_Site,2003,Caesio cuning,Muroami,21.904
Test_FF_Site,2003,Caesio cuning,Muroami,21.02
Test_FF_Site,2003,Caesio cuning,Muroami,20.517
Test_FF_Site,2003,Caesio cuning,Muroami,21.359
Test_FF_Site,2003,Caesio cuning,Muroami,21.12
Test_FF_Site,2003,Caesio cuning,Muroami,21.52
Test_FF_Site,2003,Caesio cuning,Muroami,28.533
Test_FF_Site,2003,Caesio cuning,Muroami,21.22
Test_FF_Site,2003,Caesio cuning,Muroami,20.331
Test_FF_Site,2003,Caesio cuning,Muroami,21.539
Test_FF_Site,2003,Caesio cuning,Muroami,22.656
Test_FF_Site,2003,Caesio cuning,Muroami,18.921
Test_FF_Site,2003,Caesio cuning,Muroami,18.195
Test_FF_Site,2003,Caesio cuning,Muroami,22.542
Test_FF_Site,2003,Caesio cuning,Muroami,26.632
Test_FF_Site,2003,Caesio cuning,Muroami,36.603
Test_FF_Site,2003,Caesio cuning,Muroami,17.354
Test_FF_Site,2003,Caesio cuning,Muroami,32.428
Test_FF_Site,2003,Caesio cuning,Muroami,24.117
Test_FF_Site,2003,Caesio cuning,Muroami,25.611
Test_FF_Site,2003,Caesio cuning,Muroami,30.067
Test_FF_Site,2003,Caesio cuning,Muroami,14.11
Test_FF_Site,2003,Caesio cuning,Muroami,28.559
Test_FF_Site,2003,Caesio cuning,Muroami,16.019
Test_FF_Site,2003,Caesio cuning,Muroami,32.272
Test_FF_Site,2003,Caesio cuning,Muroami,31.938
Test_FF_Site,2003,Caesio cuning,Muroami,25.757
Test_FF_Site,2003,Caesio cuning,Muroami,22.842
Test_FF_Site,2003,Caesio cuning,Muroami,26.22
Test_FF_Site,2003,Caesio cuning,Muroami,27.309
Test_FF_Site,2003,Caesio cuning,Muroami,31.69
Test_FF_Site,2003,Caesio cuning,Muroami,25.265
Test_FF_Site,2003,Caesio cuning,Muroami,22.965
Test_FF_Site,2003,Caesio cuning,Muroami,25.196
Test_FF_Site,2003,Caesio cuning,Muroami,23.818
Test_FF_Site,2003,Caesio cuning,Muroami,26.265
Test_FF_Site,2003,Caesio cuning,Muroami,30.356
Test_FF_Site,2003,Caesio cuning,Muroami,25.6
Test_FF_Site,2003,Caesio cuning,Muroami,25.643
Test_FF_Site,2003,Caesio cuning,Muroami,17.458
Test_FF_Site,2003,Caesio cuning,Muroami,26.043
Test_FF_Site,2003,Caesio cuning,Muroami,33.116
Test_FF_Site,2003,Caesio cuning,Muroami,39.899
Test_FF_Site,2003,Caesio cuning,Muroami,31.789
Test_FF_Site,2003,Caesio cuning,Muroami,28.918
Test_FF_Site,2003,Caesio cuning,Muroami,28.995
Test_FF_Site,2003,Caesio cuning,Muroami,25.487
Test_FF_Site,2003,Caesio cuning,Muroami,23.072
Test_FF_Site,2003,Caesio cuning,Muroami,36.163
Test_FF_Site,2003,Caesio cuning,Muroami,28.681
Test_FF_Site,2003,Caesio cuning,Muroami,21.831
Test_FF_Site,2003,Caesio cuning,Muroami,23.258
Test_FF_Site,2003,Caesio cuning,Muroami,27.063
Test_FF_Site,2003,Caesio cuning,Muroami,29.541
Test_FF_Site,2003,Caesio cuning,Muroami,20.749
Test_FF_Site,2003,Caesio cuning,Muroami,29.803
Test_FF_Site,2003,Caesio cuning,Muroami,32.497
Test_FF_Site,2003,Caesio cuning,Muroami,33.024
Test_FF_Site,2003,Caesio cuning,Muroami,33.868
Test_FF_Site,2003,Caesio cuning,Muroami,32.1
Test_FF_Site,2003,Caesio cuning,Muroami,33.464
Test_FF_Site,2003,Caesio cuning,Muroami,22.711
Test_FF_Site,2003,Caesio cuning,Muroami,32.197
Test_FF_Site,2003,Caesio cuning,Muroami,22.255
Test_FF_Site,2003,Caesio cuning,Muroami,34.846
Test_FF_Site,2003,Caesio cuning,Muroami,28.081
Test_FF_Site,2003,Caesio cuning,Muroami,25.349
Test_FF_Site,2003,Caesio cuning,Muroami,24.881
Test_FF_Site,2003,Caesio cuning,Muroami,25.716
Test_FF_Site,2003,Caesio cuning,Muroami,26.09
Test_FF_Site,2003,Caesio cuning,Muroami,39.596
Test_FF_Site,2003,Caesio cuning,Muroami,33.43
Test_FF_Site,2003,Caesio cuning,Muroami,26.15
Test_FF_Site,2003,Caesio cuning,Muroami,35.349
Test_FF_Site,2003,Caesio cuning,Muroami,35.281
Test_FF_Site,2003,Caesio cuning,Muroami,28.87
Test_FF_Site,2003,Caesio cuning,Muroami,25.203
Test_FF_Site,2003,Caesio cuning,Muroami,26.135
Test_FF_Site,2003,Caesio cuning,Muroami,30.014
Test_FF_Site,2003,Caesio cuning,Muroami,29.011
Test_FF_Site,2003,Caesio cuning,Muroami,26.964
Test_FF_Site,2003,Caesio cuning,Muroami,25.507
Test_FF_Site,2003,Caesio cuning,Muroami,26.957
Test_FF_Site,2003,Caesio cuning,Muroami,30.728
Test_FF_Site,2003,Caesio cuning,Muroami,19.2
Test_FF_Site,2003,Caesio cuning,Muroami,18
Test_FF_Site,2003,Caesio cuning,Muroami,34.989
Test_FF_Site,2003,Caesio cuning,Muroami,32.778
Test_FF_Site,2003,Caesio cuning,Muroami,29.57
Test_FF_Site,2003,Caesio cuning,Muroami,22.537
Test_FF_Site,2003,Caesio cuning,Muroami,27.241
Test_FF_Site,2003,Caesio cuning,Muroami,31.464
Test_FF_Site,2003,Caesio cuning,Muroami,34.903
Test_FF_Site,2003,Caesio cuning,Muroami,26.173
Test_FF_Site,2003,Caesio cuning,Muroami,31.6
Test_FF_Site,2003,Caesio cuning,Muroami,21.959
Test_FF_Site,2003,Caesio cuning,Muroami,22.883
Test_FF_Site,2003,Caesio cuning,Muroami,31.35
Test_FF_Site,2003,Caesio cuning,Muroami,33.226
Test_FF_Site,2003,Caesio cuning,Muroami,26.625
Test_FF_Site,2003,Caesio cuning,Muroami,28.109
Test_FF_Site,2003,Caesio cuning,Muroami,28.631
Test_FF_Site,2003,Caesio cuning,Muroami,28.752
Test_FF_Site,2003,Caesio cuning,Muroami,28.32
Test_FF_Site,2003,Caesio cuning,Muroami,29.578
Test_FF_Site,2003,Caesio cuning,Muroami,20.218
Test_FF_Site,2003,Caesio cuning,Muroami,26.897
Test_FF_Site,2003,Caesio cuning,Muroami,22.292
Test_FF_Site,2003,Caesio cuning,Muroami,19.442
Test_FF_Site,2003,Caesio cuning,Muroami,33.252
Test_FF_Site,2003,Caesio cuning,Muroami,31.444
Test_FF_Site,2003,Caesio cuning,Muroami,24.578
Test_FF_Site,2003,Caesio cuning,Muroami,25.039
Test_FF_Site,2003,Caesio cuning,Muroami,26.94
Test_FF_Site,2003,Caesio cuning,Muroami,26.62
Test_FF_Site,2003,Caesio cuning,Muroami,24.068
Test_FF_Site,2003,Caesio cuning,Muroami,30.89
Test_FF_Site,2003,Caesio cuning,Muroami,29.821
Test_FF_Site,2003,Caesio cuning,Muroami,23.969
Test_FF_Site,2003,Caesio cuning,Muroami,26.977
Test_FF_Site,2003,Caesio cuning,Muroami,29.305
Test_FF_Site,2003,Caesio cuning,Muroami,30
Test_FF_Site,2003,Caesio cuning,Muroami,32.344
Test_FF_Site,2003,Caesio cuning,Muroami,27.085
Test_FF_Site,2003,Caesio cuning,Muroami,28.309
Test_FF_Site,2003,Caesio cuning,Muroami,26.931
Test_FF_Site,2003,Caesio cuning,Muroami,22.457
